744,.NET-Intermediate+ WPF-Intermediate+.NET-Beginner+ WPF-Beginner,.NET-Intermediate+ WPF-Intermediate,422,421,900
1741,iOS-Beginner,.Net-Intermediate,333,332,1000
1114,.NET-Intermediate+ WPF-Intermediate+.NET-Beginner+ WPF-Beginner,.NET-Intermediate+ WPF-Intermediate,421,420,900
669,.NET-Intermediate+ WPF-Intermediate+.NET-Beginner+ WPF-Beginner,.NET-Intermediate+ WPF-Intermediate,374,373,800
1350,iOS-Intermediate+iOS-Beginner,iOS-Intermediate,118,288,870
1483,iOS-Intermediate+iOS-Beginner,iOS-Beginner,124,123,870
1147,iOS-Intermediate+iOS-Beginner,iOS-Beginner,122,121,870
1307,iOS-Intermediate+iOS-Beginner,iOS-Beginner,120,119,870
997,iOS-Intermediate+iOS-Beginner,iOS-Intermediate,106,117,800
3424,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,75,594,870
3140,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,74,593,870
3617,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,73,592,870
3655,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,72,591,870
3291,Java-Beginner+ Oracle-Beginner,Java-Beginner,811,511,890
3945,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,71,590,870
3430,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,70,589,870
3194,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,59,588,870
3109,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,58,587,870
3207,Java-Beginner+ Oracle-Beginner,Java-Beginner,805,507,850
2356,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,57,586,870
2601,Java-Beginner+ Oracle-Beginner,Java-Beginner,517,522,885
3116,Java-Beginner+ Oracle-Beginner,Java-Beginner,79,585,870
3152,Java-Beginner+ Oracle-Beginner,Java-Beginner,518,523,850
3035,Java-Beginner+ Oracle-Beginner,Java-Beginner,78,584,870
3259,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,55,392,870
3310,Java-Beginner+ Oracle-Beginner,Java-Beginner,717,583,890
4533,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,56,393,870
3653,Java-Beginner+ Oracle-Beginner,.Net-Intermediate,332,331,1000
3477,Java-Beginner+ Oracle-Beginner,.Net-Intermediate,331,330,1000
234,Java-Expert+ AngularJS-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ AngularJS-Intermediate+ AngularJS-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Expert+ AngularJS-Intermediate+ Oracle-Intermediate,681,680,850
227,Java-Expert+ AngularJS-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ AngularJS-Intermediate+ AngularJS-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Expert+ AngularJS-Expert+ Oracle-Expert,680,679,850
151,Java-Expert+ AngularJS-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ AngularJS-Intermediate+ AngularJS-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Expert+ AngularJS-Expert+ Oracle-Expert,679,678,850
363,Java-Expert+ AngularJS-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ AngularJS-Intermediate+ AngularJS-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate,557,556,870
266,Java-Expert+ AngularJS-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ AngularJS-Intermediate+ AngularJS-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Expert+ AngularJS-Expert+ Oracle-Expert,754,753,800
206,Java-Expert+ AngularJS-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ AngularJS-Intermediate+ AngularJS-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate,556,555,870
315,Java-Expert+ AngularJS-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ AngularJS-Intermediate+ AngularJS-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate,555,554,870
187,Java-Expert+ AngularJS-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ AngularJS-Intermediate+ AngularJS-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate,554,553,870
464,Java-Expert+ AngularJS-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ AngularJS-Intermediate+ AngularJS-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Expert+ AngularJS-Expert+ Oracle-Expert,532,531,800
269,Java-Expert+ AngularJS-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ AngularJS-Intermediate+ AngularJS-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Expert+ AngularJS-Expert+ Oracle-Expert,140,139,800
784,Java-Expert+ AngularJS-Intermediate+ Oracle-Intermediate+Java-Intermediate+Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate,553,552,870
585,Java-Expert+ AngularJS-Intermediate+ Oracle-Intermediate+Java-Intermediate+Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Intermediate+ AngularJS-Beginner+ Oracle-Intermediate,710,709,875
458,Java-Expert+ AngularJS-Intermediate+ Oracle-Intermediate+Java-Intermediate+Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate,552,551,870
806,Java-Expert+ AngularJS-Intermediate+ Oracle-Intermediate+Java-Intermediate+Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,715,714,900
894,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate+Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate,551,550,870
1161,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate+Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate,550,549,870
1376,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate+Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate,683,682,855
959,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate+Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate,549,548,870
1129,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate+Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate,548,547,870
943,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate+Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate,533,532,800
1157,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate+Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate,141,140,800
1034,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate+Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,804,803,870
1005,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate+Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,803,802,870
1762,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate+Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Intermediate+ AngularJS-Beginner+ Oracle-Intermediate,682,681,880
2057,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate+Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate,755,754,870
1283,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate+Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate,757,756,870
1080,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate+Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate,758,757,870
1027,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate+Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Intermediate,204,203,870
1065,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate+Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Intermediate,203,202,870
1453,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate+Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Intermediate+ AngularJS-Intermediate+ Oracle-Intermediate,707,706,855
2245,iOS-Beginner,iOS-Beginner,126,125,870
1339,iOS-Beginner,iOS-Beginner,188,187,870
1607,Android-Intermediate+Android-Beginner,Android-Intermediate,276,275,870
1544,Android-Intermediate+Android-Beginner,Android-Intermediate,119,118,870
1346,Android-Intermediate+Android-Beginner,Android-Intermediate,107,106,800
1752,Android-Intermediate+Android-Beginner,.NET-Intermediate+ Sharepoint-Intermediate,780,328,1000
1272,Java-Intermediate+ AngularJS-Beginner+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,802,801,870
1552,Android-Intermediate+Android-Beginner,.NET-Intermediate+ Sharepoint-Intermediate,777,327,1000
2136,Android-Beginner,Android-Beginner,186,185,870
1890,Android-Beginner,Android-Beginner,125,124,870
1833,Android-Beginner,Android-Beginner,123,122,870
1719,Android-Beginner,Android-Beginner,187,186,870
1388,Java-Intermediate+ MongoDB-Intermediate+Java-Beginner+ MongoDB-Beginner,Java-Intermediate+ MongoDB-Intermediate,734,733,900
907,Java-Intermediate+ MongoDB-Intermediate+Java-Beginner+ MongoDB-Beginner,Java-Intermediate+ MongoDB-Intermediate,733,732,900
1342,Java-Intermediate+ MongoDB-Intermediate+Java-Beginner+ MongoDB-Beginner,Java-Intermediate+ MongoDB-Intermediate,732,731,900
1406,Java-Intermediate+ MongoDB-Intermediate+Java-Beginner+ MongoDB-Beginner,Java-Intermediate+ MongoDB-Intermediate,731,730,900
983,Java-Intermediate+ AngularJS-Beginner+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,801,800,870
1673,Java-Intermediate+ MongoDB-Intermediate+Java-Beginner+ MongoDB-Beginner,Java-Intermediate+ MongoDB-Intermediate,730,729,900
1787,Android-Beginner,Android-Beginner,185,184,870
1302,Java-Intermediate+ AngularJS-Beginner+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate,178,177,800
3640,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,800,799,870
2112,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,713,712,855
2552,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,799,798,870
2640,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,798,797,870
3893,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,761,760,870
2856,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,305,69,890
3347,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,760,759,870
2366,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,759,758,800
2725,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,304,63,850
2348,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,303,62,895
3304,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,695,694,900
3108,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,693,692,900
2217,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,697,696,850
3181,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,576,575,870
2459,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,575,574,870
2638,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,574,573,870
2654,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,302,61,850
1947,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,301,60,890
2746,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,573,572,870
2419,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,572,571,870
3023,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,571,570,870
2100,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,300,59,890
2555,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,570,569,870
3000,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,569,568,870
1921,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,686,685,855
4567,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,568,567,870
3881,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,567,566,870
2404,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,566,565,870
2602,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,565,564,870
2292,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,564,563,870
2542,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,563,562,870
3456,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,562,561,870
2623,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,561,560,870
2516,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,560,559,870
2336,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,559,558,870
2683,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,558,557,870
2478,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner,582,197,870
2301,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner,581,196,870
2382,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner,580,88,870
2291,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner,53,67,870
3498,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner,52,66,870
2574,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner,21,65,870
2828,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,688,687,855
2700,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner,20,64,870
2557,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner,19,52,870
2331,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner,579,87,870
3897,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,.Net-Expert,239,238,1000
2750,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,718,717,855
3564,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,721,720,900
2309,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,Java-Beginner+ AngularJS-Beginner+ Oracle-Beginner,719,718,900
214,Java-Expert+ AWS Cloud-Expert+Java-Intermediate+Java-Beginner+ AWS Cloud-Intermediate+ AWS Cloud-Beginner,Java-Intermediate+ AWS Cloud-Intermediate,578,577,870
156,Java-Expert+ AWS Cloud-Expert+Java-Intermediate+Java-Beginner+ AWS Cloud-Intermediate+ AWS Cloud-Beginner,Java-Expert+ AWS Cloud-Expert,134,133,800
128,Java-Expert+ AWS Cloud-Expert+Java-Intermediate+Java-Beginner+ AWS Cloud-Intermediate+ AWS Cloud-Beginner,Java-Expert+ AWS Cloud-Expert,142,141,800
747,Java-Expert+ AWS Cloud-Intermediate+Java-Intermediate+Java-Beginner+ AWS Cloud-Beginner,Java-Intermediate+ AWS Cloud-Intermediate,577,576,870
847,Java-Intermediate+ AWS Cloud-Intermediate+Java-Beginner+ AWS Cloud-Beginner,Java-Intermediate+ AWS Cloud-Intermediate,527,526,800
1254,Java-Intermediate+ AWS Cloud-Intermediate+Java-Beginner+ AWS Cloud-Beginner,Java-Intermediate+ AWS Cloud-Intermediate,135,134,800
1826,Java-Intermediate+ AWS Cloud-Intermediate+Java-Beginner+ AWS Cloud-Beginner,Java-Beginner,47,45,870
1340,Java-Intermediate+ AWS Cloud-Intermediate+Java-Beginner+ AWS Cloud-Beginner,.NET-Expert+ Azure-Expert,154,153,1000
1492,Java-Intermediate+ MongoDB-Intermediate+Java-Beginner+ MongoDB-Beginner,Java-Intermediate+ MongoDB-Intermediate,698,697,900
1480,Android-Beginner,Android-Beginner,121,120,800
1885,Android-Beginner,Java-Expert+ MongoDB-Expert,678,108,1000
2221,Android-Beginner,Java-Expert+ MongoDB-Expert,677,107,1000
1951,iOS-Beginner,iOS-Beginner,189,188,870
1964,iOS-Beginner,iOS-Beginner,190,189,870
2170,iOS-Beginner,iOS-Beginner,191,190,870
1980,iOS-Beginner,iOS-Intermediate,277,105,1000
1857,iOS-Beginner,.NET-Expert+ Azure-Expert,102,101,1000
2088,Android-Beginner,Android-Intermediate,99,98,1000
1646,Java-Intermediate+ MongoDB-Intermediate+Java-Beginner+ MongoDB-Beginner,Java-Intermediate+ MongoDB-Intermediate,684,683,900
2037,iOS-Beginner,Android-Intermediate,98,97,1000
1370,iOS-Beginner,Android-Intermediate,97,96,1000
1472,iOS-Beginner,Android-Intermediate,96,95,1000
1909,iOS-Beginner,Java-Intermediate+ MongoDB-Intermediate,93,92,1000
2982,Java-Beginner+ AWS Cloud-Beginner,Java-Beginner,11,10,870
3102,Java-Beginner+ AWS Cloud-Beginner,Java-Beginner,10,9,870
2754,Java-Beginner+ AWS Cloud-Beginner,Java-Beginner,9,8,870
2454,Java-Beginner+ AWS Cloud-Beginner,Java-Beginner,507,80,855
3016,Java-Beginner+ AWS Cloud-Beginner,Java-Beginner,503,78,890
3518,Java-Beginner+ AWS Cloud-Beginner,Java-Beginner,68,19,870
2399,Java-Beginner+ AWS Cloud-Beginner,Java-Beginner,67,18,870
2596,Java-Beginner+ AWS Cloud-Beginner,Java-Beginner,66,17,870
3189,Java-Beginner+ AWS Cloud-Beginner,Java-Beginner,65,16,870
2729,Java-Beginner+ AWS Cloud-Beginner,Java-Beginner,46,44,870
3860,Java-Beginner+ AWS Cloud-Beginner,Java-Beginner,45,43,870
2867,Java-Beginner+ AWS Cloud-Beginner,Java-Beginner,44,20,870
2900,Java-Beginner+ AWS Cloud-Beginner,Java-Beginner,502,77,890
3787,Java-Beginner+ AWS Cloud-Beginner,Java-Beginner,18,51,870
2888,Java-Beginner+ AWS Cloud-Beginner,Java-Beginner,17,48,870
2881,Java-Beginner+ AWS Cloud-Beginner,Java-Beginner,520,525,900
3472,Java-Beginner+ AWS Cloud-Beginner,Java-Beginner,519,524,900
2341,Java-Beginner+ AWS Cloud-Beginner,Java-Beginner,818,519,900
3986,Java-Beginner+ AWS Cloud-Beginner,Java-Beginner,813,516,900
3594,Java-Beginner+ AWS Cloud-Beginner,Java-Beginner,812,512,900
2670,Java-Beginner+ AWS Cloud-Beginner,Java-Beginner,807,509,900
3382,Java-Beginner+ AWS Cloud-Beginner,Java-Beginner,806,508,900
2644,Java-Beginner+ AWS Cloud-Beginner,Java-Intermediate+ MongoDB-Intermediate,92,91,1000
3401,Java-Beginner+ AWS Cloud-Beginner,Java-Intermediate+ MongoDB-Intermediate,91,90,1000
3367,Java-Beginner+ AWS Cloud-Beginner,Java-Intermediate+ MongoDB-Intermediate,90,89,1000
2106,Java-Beginner+ AWS Cloud-Beginner,iOS-Intermediate,39,38,1000
3237,Java-Beginner+ AWS Cloud-Beginner,Java-Beginner,753,506,890
244,Java-Expert+ MongoDB-Expert+Java-Intermediate+Java-Beginner+ MongoDB-Intermediate+ MongoDB-Beginner,Java-Expert+ MongoDB-Expert,781,780,850
438,Java-Expert+ MongoDB-Expert+Java-Intermediate+Java-Beginner+ MongoDB-Intermediate+ MongoDB-Beginner,Java-Expert+ MongoDB-Expert,109,677,800
451,Java-Expert+ MongoDB-Expert+Java-Intermediate+Java-Beginner+ MongoDB-Intermediate+ MongoDB-Beginner,Java-Expert+ MongoDB-Expert,108,676,800
1165,Java-Intermediate+ MongoDB-Intermediate+Java-Beginner+ MongoDB-Beginner,Java-Intermediate+ MongoDB-Intermediate,993,992,850
941,Java-Intermediate+ MongoDB-Intermediate+Java-Beginner+ MongoDB-Beginner,Java-Intermediate+ MongoDB-Intermediate,729,728,900
1515,Java-Intermediate+ MongoDB-Intermediate+Java-Beginner+ MongoDB-Beginner,Java-Intermediate+ MongoDB-Intermediate,728,727,900
1844,Java-Intermediate+ MongoDB-Intermediate+Java-Beginner+ MongoDB-Beginner,Java-Intermediate+ MongoDB-Intermediate,727,726,900
871,Java-Intermediate+ MongoDB-Intermediate+Java-Beginner+ MongoDB-Beginner,Java-Intermediate+ MongoDB-Intermediate,708,707,900
2029,Java-Beginner+ MongoDB-Beginner,Java-Beginner+ MongoDB-Beginner,789,783,900
2008,Java-Beginner+ MongoDB-Beginner,Java-Beginner+ MongoDB-Beginner,788,721,900
2630,Java-Beginner+ MongoDB-Beginner,Java-Beginner+ MongoDB-Beginner,787,719,900
2860,Java-Beginner+ MongoDB-Beginner,Java-Beginner+ MongoDB-Beginner,784,710,900
3300,.NET-Beginner+ Sharepoint-Beginner,.NET-Beginner+ Sharepoint-Beginner,429,428,880
2376,.NET-Beginner+ Sharepoint-Beginner,.NET-Beginner+ Sharepoint-Beginner,963,962,870
1990,.NET-Beginner+ Sharepoint-Beginner,.NET-Beginner+ Sharepoint-Beginner,962,961,870
3447,.NET-Beginner+ Sharepoint-Beginner,.NET-Beginner+ Sharepoint-Beginner,952,951,870
2701,.NET-Beginner+ Sharepoint-Beginner,.NET-Beginner+ Sharepoint-Beginner,343,342,865
2361,.NET-Beginner+ Sharepoint-Beginner,.NET-Beginner+ Sharepoint-Beginner,951,950,870
2280,.NET-Beginner+ Sharepoint-Beginner,.NET-Beginner+ Sharepoint-Beginner,950,949,870
2380,.NET-Beginner+ Sharepoint-Beginner,.NET-Beginner+ Sharepoint-Beginner,998,997,860
2412,.NET-Beginner+ Sharepoint-Beginner,.NET-Beginner+ Sharepoint-Beginner,942,941,870
450,.NET-Beginner+ Sharepoint-Beginner,.NET-Beginner+ Sharepoint-Beginner,850,849,850
2525,.NET-Beginner+ Sharepoint-Beginner,.NET-Beginner+ Sharepoint-Beginner,428,427,900
3620,.NET-Beginner+ Sharepoint-Beginner,.NET-Beginner+ Sharepoint-Beginner,342,341,860
2483,.NET-Beginner+ Sharepoint-Beginner,.NET-Beginner+ Sharepoint-Beginner,849,848,850
408,.NET-Beginner+ Sharepoint-Beginner,.NET-Beginner+ Sharepoint-Beginner,848,847,890
3009,.NET-Beginner+ Sharepoint-Beginner,.NET-Beginner+ Sharepoint-Beginner,348,347,900
2740,Java-Beginner+ MongoDB-Beginner,Java-Beginner+ MongoDB-Beginner,786,715,890
2277,Java-Beginner+ MongoDB-Beginner,Java-Beginner+ MongoDB-Beginner,696,695,900
2224,Java-Beginner+ MongoDB-Beginner,Java-Beginner+ MongoDB-Beginner,714,988,900
3649,Java-Beginner+ MongoDB-Beginner,Java-Beginner+ MongoDB-Beginner,694,693,900
2772,Java-Beginner+ MongoDB-Beginner,Java-Beginner+ MongoDB-Beginner,785,713,890
2425,Java-Beginner+ MongoDB-Beginner,Java-Beginner+ MongoDB-Beginner,691,690,900
2604,Java-Beginner+ MongoDB-Beginner,Java-Beginner+ MongoDB-Beginner,711,987,900
2872,Java-Beginner+ MongoDB-Beginner,Java-Beginner+ MongoDB-Beginner,689,688,900
2038,.NET-Beginner+ SQL Server-Beginner,.NET-Beginner+ SQL Server-Beginner,897,896,900
3816,.NET-Beginner+ SQL Server-Beginner,.NET-Beginner+ SQL Server-Beginner,896,895,900
2696,.NET-Beginner+ SQL Server-Beginner,.NET-Beginner+ SQL Server-Beginner,871,870,900
3685,.NET-Beginner+ SQL Server-Beginner,.NET-Beginner+ SQL Server-Beginner,870,869,900
3625,.NET-Beginner+ SQL Server-Beginner,.NET-Beginner+ SQL Server-Beginner,869,868,900
3922,.NET-Beginner+ SQL Server-Beginner,.NET-Beginner+ SQL Server-Beginner,868,867,900
3245,.NET-Beginner+ SQL Server-Beginner,.NET-Beginner+ SQL Server-Beginner,895,894,850
3947,.NET-Beginner+ SQL Server-Beginner,.NET-Beginner+ SQL Server-Beginner,845,844,900
3886,.NET-Beginner+ SQL Server-Beginner,.NET-Beginner+ SQL Server-Beginner,844,843,900
2707,.NET-Beginner+ SQL Server-Beginner,.NET-Beginner+ SQL Server-Beginner,843,842,900
3314,.NET-Beginner+ SQL Server-Beginner,.NET-Beginner+ SQL Server-Beginner,842,841,900
2685,.NET-Beginner+ SQL Server-Beginner,.NET-Beginner+ SQL Server-Beginner,841,840,900
2528,.NET-Beginner+ SQL Server-Beginner,.NET-Beginner+ SQL Server-Beginner,701,700,890
3212,.NET-Beginner+ SQL Server-Beginner,.NET-Beginner+ SQL Server-Beginner,840,839,890
